site,country,ssp,variable,period,ens_mean,ens_median,ens_p10,ens_p90,lat,lon
Gunsan_Plant,KOR,ssp126,evspsbl,baseline,28.6831,28.6831,28.6831,28.6831,35.97,126.7114
Gunsan_Plant,KOR,ssp126,pr,baseline,41.429,41.7166,33.2287,47.8042,35.97,126.7114
Gunsan_Plant,KOR,ssp126,prsn,baseline,0.4002,0.4002,0.4002,0.4002,35.97,126.7114
Gunsan_Plant,KOR,ssp126,sfcWind,baseline,4.2621,4.2621,4.2621,4.2621,35.97,126.7114
Gunsan_Plant,KOR,ssp126,tas,baseline,12.7849,12.8067,10.8159,14.2084,35.97,126.7114
Gunsan_Plant,KOR,ssp126,tasmax,baseline,27.7853,27.7356,25.2145,30.3434,35.97,126.7114
Gunsan_Plant,KOR,ssp126,tasmin,baseline,9.7491,10.6158,6.8777,12.406,35.97,126.7114
Gunsan_Plant,KOR,ssp245,evspsbl,baseline,28.8816,28.8816,28.8816,28.8816,35.97,126.7114
Gunsan_Plant,KOR,ssp245,pr,baseline,40.3689,38.8718,34.1249,46.1678,35.97,126.7114
Gunsan_Plant,KOR,ssp245,prsn,baseline,0.3063,0.3063,0.3063,0.3063,35.97,126.7114
Gunsan_Plant,KOR,ssp245,sfcWind,baseline,4.3083,4.3083,4.3083,4.3083,35.97,126.7114
Gunsan_Plant,KOR,ssp245,tas,baseline,12.795,12.7734,10.8016,14.3455,35.97,126.7114
Gunsan_Plant,KOR,ssp245,tasmax,baseline,27.7183,27.5685,25.1626,29.5875,35.97,126.7114
Gunsan_Plant,KOR,ssp245,tasmin,baseline,9.7871,10.5439,6.8117,12.4141,35.97,126.7114
Gunsan_Plant,KOR,ssp370,evspsbl,baseline,28.5543,28.5543,28.5543,28.5543,35.97,126.7114
Gunsan_Plant,KOR,ssp370,pr,baseline,39.3784,38.6019,33.604,45.1427,35.97,126.7114
Gunsan_Plant,KOR,ssp370,prsn,baseline,0.4184,0.4184,0.4184,0.4184,35.97,126.7114
Gunsan_Plant,KOR,ssp370,sfcWind,baseline,4.2325,4.2325,4.2325,4.2325,35.97,126.7114
Gunsan_Plant,KOR,ssp370,tas,baseline,12.606,12.6226,10.4947,14.2274,35.97,126.7114
Gunsan_Plant,KOR,ssp370,tasmax,baseline,27.7052,27.8334,24.6456,29.5042,35.97,126.7114
Gunsan_Plant,KOR,ssp370,tasmin,baseline,9.1108,9.7583,6.5357,10.9127,35.97,126.7114
Gunsan_Plant,KOR,ssp585,evspsbl,baseline,28.9916,28.9916,28.9916,28.9916,35.97,126.7114
Gunsan_Plant,KOR,ssp585,pr,baseline,40.2724,37.8854,34.2455,48.3898,35.97,126.7114
Gunsan_Plant,KOR,ssp585,prsn,baseline,0.3701,0.3701,0.3701,0.3701,35.97,126.7114
Gunsan_Plant,KOR,ssp585,sfcWind,baseline,4.3203,4.3203,4.3203,4.3203,35.97,126.7114
Gunsan_Plant,KOR,ssp585,tas,baseline,12.9772,12.8446,10.7243,14.3184,35.97,126.7114
Gunsan_Plant,KOR,ssp585,tasmax,baseline,27.9055,27.7562,25.4992,29.6771,35.97,126.7114
Gunsan_Plant,KOR,ssp585,tasmin,baseline,9.8104,10.5562,6.7555,12.4866,35.97,126.7114
Gwangyang_Plant,KOR,ssp126,evspsbl,baseline,43.2296,43.2296,43.2296,43.2296,34.9393,127.6961
Gwangyang_Plant,KOR,ssp126,pr,baseline,50.4113,48.278,41.236,63.088,34.9393,127.6961
Gwangyang_Plant,KOR,ssp126,prsn,baseline,0.1386,0.1386,0.1386,0.1386,34.9393,127.6961
Gwangyang_Plant,KOR,ssp126,sfcWind,baseline,5.7691,5.7691,5.7691,5.7691,34.9393,127.6961
Gwangyang_Plant,KOR,ssp126,tas,baseline,14.1276,14.3812,12.408,16.1227,34.9393,127.6961
Gwangyang_Plant,KOR,ssp126,tasmax,baseline,27.7687,27.8549,25.3415,29.9464,34.9393,127.6961
Gwangyang_Plant,KOR,ssp126,tasmin,baseline,11.4951,11.4422,7.534,14.7664,34.9393,127.6961
Gwangyang_Plant,KOR,ssp245,evspsbl,baseline,44.2426,44.2426,44.2426,44.2426,34.9393,127.6961
Gwangyang_Plant,KOR,ssp245,pr,baseline,49.1724,47.1342,41.3441,60.3006,34.9393,127.6961
Gwangyang_Plant,KOR,ssp245,prsn,baseline,0.0935,0.0935,0.0935,0.0935,34.9393,127.6961
Gwangyang_Plant,KOR,ssp245,sfcWind,baseline,5.8433,5.8433,5.8433,5.8433,34.9393,127.6961
Gwangyang_Plant,KOR,ssp245,tas,baseline,14.1104,14.2241,12.5038,16.3784,34.9393,127.6961
Gwangyang_Plant,KOR,ssp245,tasmax,baseline,27.5983,27.6055,25.3385,29.6376,34.9393,127.6961
Gwangyang_Plant,KOR,ssp245,tasmin,baseline,11.509,11.4436,7.6925,15.008,34.9393,127.6961
