site,ssp,period,variable,ens_mean
Gunsan_Plant,ssp126,baseline,etccdi_cdd,29.7
Gunsan_Plant,ssp126,baseline,etccdi_cwd,5.8
Gunsan_Plant,ssp126,baseline,etccdi_fd,6.8
Gunsan_Plant,ssp126,baseline,etccdi_r95p,380.08
Gunsan_Plant,ssp126,baseline,etccdi_rx1day,39.0
Gunsan_Plant,ssp126,baseline,etccdi_rx5day,61.55
Gunsan_Plant,ssp126,baseline,etccdi_sdii,13.26
Gunsan_Plant,ssp126,baseline,etccdi_su,0.0
Gunsan_Plant,ssp126,baseline,etccdi_tnn,7.34
Gunsan_Plant,ssp126,baseline,etccdi_tr,9.1
Gunsan_Plant,ssp126,baseline,etccdi_txx,17.38
Gunsan_Plant,ssp126,baseline,etccdi_wbgt,12.27
Gunsan_Plant,ssp126,baseline,etccdi_wsdi,3.9
Gunsan_Plant,ssp126,end,etccdi_cdd,37.5
Gunsan_Plant,ssp126,end,etccdi_cwd,5.8
Gunsan_Plant,ssp126,end,etccdi_fd,3.6
Gunsan_Plant,ssp126,end,etccdi_r95p,441.88
Gunsan_Plant,ssp126,end,etccdi_rx1day,36.97
Gunsan_Plant,ssp126,end,etccdi_rx5day,61.38
Gunsan_Plant,ssp126,end,etccdi_sdii,14.11
Gunsan_Plant,ssp126,end,etccdi_su,2.7
Gunsan_Plant,ssp126,end,etccdi_tnn,8.78
Gunsan_Plant,ssp126,end,etccdi_tr,38.3
Gunsan_Plant,ssp126,end,etccdi_txx,18.77
Gunsan_Plant,ssp126,end,etccdi_wbgt,13.57
Gunsan_Plant,ssp126,end,etccdi_wsdi,38.8
Gunsan_Plant,ssp126,far,etccdi_cdd,33.6
Gunsan_Plant,ssp126,far,etccdi_cwd,5.7
Gunsan_Plant,ssp126,far,etccdi_fd,1.6
Gunsan_Plant,ssp126,far,etccdi_r95p,292.22
Gunsan_Plant,ssp126,far,etccdi_rx1day,34.88
Gunsan_Plant,ssp126,far,etccdi_rx5day,56.01
Gunsan_Plant,ssp126,far,etccdi_sdii,12.43
Gunsan_Plant,ssp126,far,etccdi_su,4.6
Gunsan_Plant,ssp126,far,etccdi_tnn,8.79
Gunsan_Plant,ssp126,far,etccdi_tr,48.0
Gunsan_Plant,ssp126,far,etccdi_txx,18.99
Gunsan_Plant,ssp126,far,etccdi_wbgt,13.77
Gunsan_Plant,ssp126,far,etccdi_wsdi,44.4
Gunsan_Plant,ssp126,mid,etccdi_cdd,35.2
Gunsan_Plant,ssp126,mid,etccdi_cwd,5.3
Gunsan_Plant,ssp126,mid,etccdi_fd,3.0
Gunsan_Plant,ssp126,mid,etccdi_r95p,239.91
Gunsan_Plant,ssp126,mid,etccdi_rx1day,33.09
Gunsan_Plant,ssp126,mid,etccdi_rx5day,52.19
Gunsan_Plant,ssp126,mid,etccdi_sdii,11.3
Gunsan_Plant,ssp126,mid,etccdi_su,6.0
Gunsan_Plant,ssp126,mid,etccdi_tnn,8.62
Gunsan_Plant,ssp126,mid,etccdi_tr,46.4
Gunsan_Plant,ssp126,mid,etccdi_txx,18.94
Gunsan_Plant,ssp126,mid,etccdi_wbgt,13.62
Gunsan_Plant,ssp126,mid,etccdi_wsdi,48.0
Gunsan_Plant,ssp126,near,etccdi_cdd,38.8
Gunsan_Plant,ssp126,near,etccdi_cwd,5.2
Gunsan_Plant,ssp126,near,etccdi_fd,2.5
Gunsan_Plant,ssp126,near,etccdi_r95p,356.43
Gunsan_Plant,ssp126,near,etccdi_rx1day,37.81
Gunsan_Plant,ssp126,near,etccdi_rx5day,59.16
Gunsan_Plant,ssp126,near,etccdi_sdii,13.04
Gunsan_Plant,ssp126,near,etccdi_su,0.5
Gunsan_Plant,ssp126,near,etccdi_tnn,7.95
Gunsan_Plant,ssp126,near,etccdi_tr,23.7
Gunsan_Plant,ssp126,near,etccdi_txx,18.11
Gunsan_Plant,ssp126,near,etccdi_wbgt,12.96
Gunsan_Plant,ssp126,near,etccdi_wsdi,24.7
Gunsan_Plant,ssp245,baseline,etccdi_cdd,33.3
Gunsan_Plant,ssp245,baseline,etccdi_cwd,5.0
Gunsan_Plant,ssp245,baseline,etccdi_fd,7.7
Gunsan_Plant,ssp245,baseline,etccdi_r95p,240.48
Gunsan_Plant,ssp245,baseline,etccdi_rx1day,34.06
Gunsan_Plant,ssp245,baseline,etccdi_rx5day,50.76
Gunsan_Plant,ssp245,baseline,etccdi_sdii,12.31
Gunsan_Plant,ssp245,baseline,etccdi_su,0.0
Gunsan_Plant,ssp245,baseline,etccdi_tnn,6.82
Gunsan_Plant,ssp245,baseline,etccdi_tr,8.5
Gunsan_Plant,ssp245,baseline,etccdi_txx,17.1
Gunsan_Plant,ssp245,baseline,etccdi_wbgt,11.96
Gunsan_Plant,ssp245,baseline,etccdi_wsdi,8.0
Gunsan_Plant,ssp245,end,etccdi_cdd,27.4
Gunsan_Plant,ssp245,end,etccdi_cwd,5.1
Gunsan_Plant,ssp245,end,etccdi_fd,2.0
Gunsan_Plant,ssp245,end,etccdi_r95p,347.9
Gunsan_Plant,ssp245,end,etccdi_rx1day,36.72
Gunsan_Plant,ssp245,end,etccdi_rx5day,55.53
