site,country,lat,lon,hazard,indicator,label,scenario,year,value,model,error
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2030,21.72,mean_degree_days/above/32c,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2030,21.72,mean_degree_days/above/32c,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2030,21.56,mean_degree_days/above/32c,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2030,7.69,mean_degree_days/above/32c,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2030,16.67,mean_degree_days/above/32c,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2030,46.63,mean_degree_days/above/32c,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2030,28.79,mean_degree_days/above/32c,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2030,28.79,mean_degree_days/above/32c,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2030,113.9,mean_degree_days/above/32c,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2030,192.6,mean_degree_days/above/32c,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2030,187.6,mean_degree_days/above/32c,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2030,0.008507,mean_degree_days/above/32c,
OCI_Japan_Tokyo,JPN,35.6762,139.6503,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2030,44.46,mean_degree_days/above/32c,
Philko_Makati,PHL,14.5995,120.9842,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2030,29.44,mean_degree_days/above/32c,
OCI_HQ_Seoul,KOR,37.5649,126.9793,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2050,49.9,mean_degree_days/above/32c,
OCI_Dream_Seoul,KOR,37.5172,126.9,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2050,49.9,mean_degree_days/above/32c,
OCI_RnD_Seongnam,KOR,37.3219,127.119,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2050,49.61,mean_degree_days/above/32c,
Pohang_Plant,KOR,36.0095,129.3435,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2050,20.09,mean_degree_days/above/32c,
Gwangyang_Plant,KOR,34.9393,127.6961,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2050,34.35,mean_degree_days/above/32c,
Gunsan_Plant,KOR,35.97,126.7114,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2050,88.58,mean_degree_days/above/32c,
Iksan_Plant,KOR,35.9333,127.0167,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2050,58.9,mean_degree_days/above/32c,
Saehan_Recycle,KOR,35.9333,127.0167,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2050,58.9,mean_degree_days/above/32c,
OCI_Shanghai,CHN,31.2304,121.4737,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2050,158.3,mean_degree_days/above/32c,
MaSteel_OCI,CHN,31.6839,118.5127,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2050,237.9,mean_degree_days/above/32c,
Shandong_OCI,CHN,34.7979,117.2571,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2050,239.9,mean_degree_days/above/32c,
Jianyang_Carbon,CHN,26.7587,104.4734,ChronicHeat,mean_degree_days/above/32c,DD32c,ssp126,2050,0.0,mean_degree_days/above/32c,
