Country,Site,Variable,Unit,Hazard_Key,SSP1-2.6_2020s,SSP1-2.6_2030s,SSP1-2.6_2040s,SSP1-2.6_2050s,SSP1-2.6_2060s,SSP1-2.6_2070s,SSP1-2.6_2080s,SSP1-2.6_2090s,SSP2-4.5_2020s,SSP2-4.5_2030s,SSP2-4.5_2040s,SSP2-4.5_2050s,SSP2-4.5_2060s,SSP2-4.5_2070s,SSP2-4.5_2080s,SSP2-4.5_2090s,SSP3-7.0_2020s,SSP3-7.0_2030s,SSP3-7.0_2040s,SSP3-7.0_2050s,SSP3-7.0_2060s,SSP3-7.0_2070s,SSP3-7.0_2080s,SSP3-7.0_2090s,SSP5-8.5_2020s,SSP5-8.5_2030s,SSP5-8.5_2040s,SSP5-8.5_2050s,SSP5-8.5_2060s,SSP5-8.5_2070s,SSP5-8.5_2080s,SSP5-8.5_2090s
Korea,HQ Seoul,Daily Max Temperature,degC,Heat Wave (Tmax C),13.784,14.508,14.715,15.26,15.056,15.173,15.433,15.267,13.395,14.071,14.635,15.516,15.631,15.812,16.347,16.088,13.628,14.348,14.2,15.198,15.668,16.559,17.203,17.875,13.594,14.314,15.229,15.88,16.617,17.53,18.49,19.343
Korea,HQ Seoul,Daily Min Temperature,degC,Cold Wave (Tmin C),7.49,8.259,8.399,8.929,8.866,8.674,9.097,8.874,7.101,7.899,8.497,9.136,9.292,9.525,9.862,9.776,7.289,8.113,7.948,8.75,9.256,10.179,10.916,11.45,7.458,8.024,8.858,9.554,10.232,11.073,11.992,12.932
Korea,HQ Seoul,Near-Surface Air Temperature,degC,Mean Temp (Tas C),10.734,11.489,11.68,12.208,12.055,12.058,12.358,12.181,10.386,11.104,11.671,12.409,12.581,12.758,13.205,13.045,10.565,11.332,11.159,12.058,12.571,13.442,14.121,14.716,10.633,11.286,12.134,12.816,13.534,14.375,15.322,16.186
Korea,HQ Seoul,Precipitation,mm/day,Heavy Rain (Pr mm/day),2.938,2.881,2.779,2.974,3.186,2.415,3.247,2.758,2.382,2.63,3.097,3.012,2.991,2.747,2.636,2.955,2.536,2.963,2.854,3.085,3.029,3.009,3.271,2.953,3.177,2.941,2.742,3.191,3.054,3.234,3.34,3.694
Korea,HQ Seoul,Evapotranspiration,mm/day,Drought (Evap mm/day),2.357,2.443,2.513,2.52,2.523,2.363,2.54,2.53,2.3,2.328,2.411,2.505,2.485,2.489,2.518,2.546,2.24,2.3,2.286,2.325,2.356,2.395,2.476,2.457,2.389,2.35,2.422,2.513,2.472,2.544,2.59,2.681
Korea,HQ Seoul,Snowfall Flux,mm/day,Snowfall (Prsn mm/day),0.07,0.04,0.061,0.037,0.036,0.048,0.034,0.051,0.078,0.037,0.037,0.029,0.03,0.019,0.031,0.031,0.047,0.043,0.051,0.038,0.034,0.014,0.018,0.013,0.071,0.047,0.037,0.028,0.015,0.005,0.007,0.002
Korea,HQ Seoul,Near-Surface Wind Speed,m/s,Wind Speed (m/s),2.496,2.489,2.549,2.469,2.52,2.552,2.478,2.514,2.518,2.454,2.425,2.436,2.464,2.482,2.493,2.495,2.423,2.446,2.483,2.446,2.495,2.412,2.372,2.427,2.486,2.517,2.466,2.5,2.478,2.466,2.413,2.409
Korea,HQ Seoul,Sea Surface Height Anomaly,cm,Sea Level (cm),35.3,36.869,35.067,33.231,34.447,35.552,34.685,34.43,35.584,35.582,36.071,35.892,34.554,32.338,32.404,30.992,36.216,37.818,36.979,35.999,34.685,35.137,37.596,38.425,35.0,35.729,35.42,35.837,33.881,36.708,36.863,38.132
Korea,HQ Seoul,Total Runoff,mm/day,Runoff (mrro mm/day),0.776,0.598,0.503,0.709,0.848,0.353,0.857,0.517,0.378,0.479,0.852,0.697,0.791,0.446,0.399,0.599,0.537,0.808,0.774,0.961,0.889,0.849,1.022,0.784,0.961,0.767,0.555,0.937,0.856,0.999,0.972,1.276
Korea,HQ Seoul,Soil Moisture upper layer,kg/m2,Soil Moisture (kg/m2),22.841,22.232,21.979,21.961,22.016,19.599,21.906,21.26,22.007,22.001,22.76,22.095,21.861,21.398,20.781,21.483,22.316,23.17,23.125,22.57,21.932,22.089,23.076,21.429,24.078,21.676,21.816,22.398,21.503,21.453,21.664,22.867
Korea,HQ Seoul,Near-Surface Specific Humidity,g/kg,Spec Humidity (g/kg),7.061,7.377,7.475,7.686,7.663,7.312,7.763,7.593,6.888,7.195,7.498,7.807,7.823,7.966,8.044,8.042,6.993,7.402,7.331,7.669,7.856,8.33,8.82,8.979,7.184,7.23,7.611,8.005,8.224,8.643,9.204,9.829
Korea,HQ Seoul,Surface Downwelling SW Rad,W/m2,Solar Rad (rsds W/m2),176.442,181.668,185.052,187.235,185.299,190.657,187.058,189.704,175.61,176.527,178.319,183.067,183.779,183.926,187.797,186.238,172.083,168.596,169.298,171.718,172.317,173.122,173.601,177.53,172.924,179.001,180.573,181.452,184.373,185.452,186.977,186.998
Korea,R&D Seongnam,Daily Max Temperature,degC,Heat Wave (Tmax C),13.009,13.753,13.885,14.462,14.298,14.122,14.58,14.368,12.639,13.33,13.862,14.661,14.683,14.899,15.337,15.219,12.822,13.588,13.356,14.203,14.748,15.553,16.159,16.639,12.884,13.442,14.357,15.0,15.477,16.356,17.275,18.071
Korea,R&D Seongnam,Daily Min Temperature,degC,Cold Wave (Tmin C),9.97,10.769,10.898,11.478,11.351,11.18,11.594,11.426,9.587,10.368,10.92,11.649,11.745,11.963,12.346,12.229,9.766,10.498,10.32,11.113,11.664,12.527,13.221,13.68,9.874,10.384,11.34,11.992,12.571,13.404,14.361,15.19
Korea,R&D Seongnam,Near-Surface Air Temperature,degC,Mean Temp (Tas C),11.593,12.359,12.495,13.071,12.911,12.753,13.184,12.998,11.215,11.951,12.495,13.253,13.31,13.518,13.944,13.814,11.388,12.136,11.925,12.745,13.302,14.122,14.774,15.226,11.481,12.012,12.941,13.583,14.109,14.952,15.886,16.69
