Country,Site,Scenario,Period,CDD (days),CWD (days),FD (days/yr),R95p (mm/yr),Rx1day (mm),Rx5day (mm),SDII (mm/wetday),SU (days/yr),TNn (degC),TR (days/yr),TXx (degC),WBGT (degC),WSDI (days/yr)
China,Jianyang Carbon (ZZ),SSP2-4.5,2020s,31.9,6.6,71.1,180.56,25.12,39.59,9.44,142.0,4.53,88.3,28.04,15.28,7.4
China,Jianyang Carbon (ZZ),SSP2-4.5,2030s,30.8,6.6,64.6,241.71,27.4,44.76,10.46,148.7,5.1,89.3,27.71,15.55,9.5
China,Jianyang Carbon (ZZ),SSP2-4.5,2040s,35.8,6.4,55.2,275.43,28.56,46.47,11.0,150.7,5.52,93.9,28.72,16.27,10.4
China,Jianyang Carbon (ZZ),SSP2-4.5,2050s,41.8,6.0,48.7,388.96,33.15,52.72,12.47,163.8,6.39,104.0,29.91,17.01,14.6
China,Jianyang Carbon (ZZ),SSP2-4.5,2060s,40.9,6.2,51.1,428.15,33.99,56.5,13.51,162.7,6.13,104.6,29.56,16.86,12.9
China,Jianyang Carbon (ZZ),SSP2-4.5,2070s,36.4,6.0,46.5,422.62,33.98,56.94,12.83,167.8,6.44,112.8,30.69,17.32,16.5
China,Jianyang Carbon (ZZ),SSP2-4.5,2080s,39.0,4.9,42.7,305.65,29.11,46.35,11.45,173.4,6.57,115.9,31.52,17.71,23.8
China,Jianyang Carbon (ZZ),SSP2-4.5,2090s,39.1,5.9,46.1,437.65,34.43,57.35,13.48,169.3,6.83,115.2,30.79,17.52,18.8
China,Jianyang Carbon (ZZ),SSP5-8.5,2020s,32.8,6.3,65.4,248.64,28.18,46.2,11.56,139.5,4.52,85.5,27.89,15.43,4.1
China,Jianyang Carbon (ZZ),SSP5-8.5,2030s,37.6,7.7,59.4,238.86,30.79,50.89,11.21,148.6,5.37,93.9,28.28,15.9,8.4
China,Jianyang Carbon (ZZ),SSP5-8.5,2040s,42.2,5.6,53.5,319.19,30.96,51.41,12.02,165.0,6.07,106.5,29.51,16.63,11.8
China,Jianyang Carbon (ZZ),SSP5-8.5,2050s,31.7,5.8,49.0,254.43,31.04,51.4,11.82,166.5,6.6,112.6,30.15,17.16,14.9
China,Jianyang Carbon (ZZ),SSP5-8.5,2060s,34.1,5.5,38.9,348.32,32.44,59.8,12.58,166.8,7.3,119.1,30.95,17.82,29.6
China,Jianyang Carbon (ZZ),SSP5-8.5,2070s,36.4,6.2,29.4,507.12,42.07,69.59,14.81,172.0,7.87,125.4,31.45,18.46,31.4
China,Jianyang Carbon (ZZ),SSP5-8.5,2080s,37.5,6.3,27.0,305.19,33.43,56.73,12.18,180.3,8.99,139.6,32.56,19.24,52.7
China,Jianyang Carbon (ZZ),SSP5-8.5,2090s,35.8,6.4,19.9,436.79,41.48,67.51,14.7,191.3,9.74,145.2,33.15,20.09,50.1
China,MaSteel OCI (MAS),SSP2-4.5,2020s,26.8,11.7,44.0,359.4,40.35,72.41,12.9,116.1,4.92,62.2,26.74,16.2,5.8
China,MaSteel OCI (MAS),SSP2-4.5,2030s,29.6,10.8,38.5,461.06,44.28,79.28,13.25,125.6,5.19,63.8,26.82,16.48,6.9
China,MaSteel OCI (MAS),SSP2-4.5,2040s,26.4,10.1,33.4,468.51,40.54,77.37,13.47,130.0,5.69,73.7,27.78,17.14,13.1
China,MaSteel OCI (MAS),SSP2-4.5,2050s,26.5,9.8,32.3,343.61,41.44,77.37,12.98,139.8,6.34,87.1,28.32,17.78,21.8
China,MaSteel OCI (MAS),SSP2-4.5,2060s,38.8,10.0,33.4,536.12,44.74,85.31,14.56,145.4,6.36,82.9,28.75,17.73,14.8
China,MaSteel OCI (MAS),SSP2-4.5,2070s,27.7,9.8,29.6,549.22,44.28,85.84,14.17,150.3,6.47,95.8,29.01,18.2,28.8
China,MaSteel OCI (MAS),SSP2-4.5,2080s,27.6,8.8,23.8,543.96,45.74,83.69,13.99,155.1,6.56,95.1,29.48,18.51,23.6
China,MaSteel OCI (MAS),SSP2-4.5,2090s,28.6,8.9,28.2,499.89,44.6,82.24,14.29,153.4,6.71,93.0,29.1,18.23,22.9
China,MaSteel OCI (MAS),SSP5-8.5,2020s,26.3,10.0,42.8,347.07,34.82,69.16,12.1,122.3,4.81,66.3,27.06,16.35,3.9
China,MaSteel OCI (MAS),SSP5-8.5,2030s,27.9,10.2,40.4,411.77,39.1,72.91,12.71,134.5,5.63,72.0,27.2,16.76,9.8
China,MaSteel OCI (MAS),SSP5-8.5,2040s,34.7,9.2,32.0,475.75,39.38,79.97,13.52,147.4,6.05,78.8,28.02,17.5,9.5
China,MaSteel OCI (MAS),SSP5-8.5,2050s,38.7,10.5,30.4,495.76,43.97,80.88,14.28,149.1,6.56,92.2,29.09,18.0,12.0
China,MaSteel OCI (MAS),SSP5-8.5,2060s,35.5,9.0,24.2,487.73,45.0,80.36,14.3,158.9,6.88,103.0,29.46,18.63,20.4
China,MaSteel OCI (MAS),SSP5-8.5,2070s,27.6,11.2,18.5,648.34,47.88,96.16,15.77,163.0,7.87,112.3,30.26,19.43,28.1
China,MaSteel OCI (MAS),SSP5-8.5,2080s,33.3,9.0,18.0,599.07,46.38,91.19,15.15,178.8,8.88,125.0,31.77,20.15,42.8
China,MaSteel OCI (MAS),SSP5-8.5,2090s,30.7,10.3,13.3,699.94,50.92,96.26,15.73,188.9,9.47,134.5,32.29,20.97,52.4
China,OCI Shanghai,SSP2-4.5,2020s,24.4,13.6,0.1,416.61,41.15,79.05,12.57,65.4,10.29,81.9,24.22,16.5,8.6
