Country,Site,Scenario,HI_2020s_degC,HI_2030s_degC,HI_2040s_degC,HI_2050s_degC,HI_2060s_degC,HI_2070s_degC,HI_2080s_degC,HI_2090s_degC,NOAA_Risk_2090s,Rate_2020_2050_degC_per_decade,Rate_2050_2100_degC_per_decade,dT_total_degC,SPEI_2020s,SPEI_2030s,SPEI_2040s,SPEI_2050s,SPEI_2060s,SPEI_2070s,SPEI_2080s,SPEI_2090s
China,Jianyang Carbon (ZZ),SSP2-4.5,15.15,15.43,16.31,17.17,17.09,17.68,18.23,17.88,Safe,0.536,0.288,2.37,-0.06,-0.0,-0.045,0.05,0.043,0.048,-0.039,0.069
China,Jianyang Carbon (ZZ),SSP5-8.5,15.26,15.7,16.91,17.42,18.28,19.19,20.35,21.48,Safe,0.86,0.828,5.05,-0.047,-0.029,-0.003,-0.061,-0.018,0.123,-0.01,0.075
China,MaSteel OCI (MAS),SSP2-4.5,14.85,15.22,16.14,16.87,16.92,17.54,17.82,17.49,Safe,0.572,0.247,2.22,-0.041,0.089,0.069,-0.076,0.007,0.031,-0.051,-0.005
China,MaSteel OCI (MAS),SSP5-8.5,15.07,15.63,16.5,17.15,18.14,19.29,20.43,21.63,Safe,0.729,0.805,4.85,-0.101,-0.058,-0.051,-0.037,-0.062,0.143,0.052,0.088
China,OCI Shanghai,SSP2-4.5,16.27,16.58,17.36,17.94,17.95,18.44,18.95,18.44,Safe,0.569,0.24,2.06,-0.013,0.023,0.041,0.08,-0.125,-0.081,-0.041,0.18
China,OCI Shanghai,SSP5-8.5,16.33,16.71,17.57,18.28,18.9,20.29,21.37,22.69,Safe,0.742,0.75,4.79,-0.052,-0.073,-0.043,-0.017,-0.049,0.067,0.11,0.095
China,Shandong OCI (ZZ),SSP2-4.5,15.15,15.43,16.31,17.17,17.09,17.68,18.23,17.88,Safe,0.536,0.288,2.37,-0.06,-0.0,-0.045,0.05,0.043,0.048,-0.039,0.069
China,Shandong OCI (ZZ),SSP5-8.5,15.26,15.7,16.91,17.42,18.28,19.19,20.35,21.48,Safe,0.86,0.828,5.05,-0.047,-0.029,-0.003,-0.061,-0.018,0.123,-0.01,0.075
Japan,OCI Japan Tokyo,SSP2-4.5,14.39,14.98,14.71,15.17,15.41,15.69,15.94,15.71,Safe,0.328,0.201,1.3,0.003,0.008,-0.057,0.031,-0.032,0.123,0.02,-0.06
Japan,OCI Japan Tokyo,SSP5-8.5,13.69,14.08,14.91,15.71,16.29,17.21,18.36,19.87,Safe,0.698,0.824,5.18,0.002,-0.016,-0.02,0.064,0.026,-0.1,-0.027,0.094
