Site,Variable,Scenario,2030,2035,2040,2045
HQ Seoul,Tmean(C),SSP1-2.6,11.348,11.646,10.915,11.725
HQ Seoul,Tmax(C),SSP1-2.6,14.38,14.596,13.921,14.746
HQ Seoul,Tmin(C),SSP1-2.6,8.129,8.519,7.668,8.485
HQ Seoul,Pr(mm/d),SSP1-2.6,2.795,3.16,2.546,2.914
HQ Seoul,Wind(m/s),SSP1-2.6,2.482,2.451,2.55,2.549
HQ Seoul,Huss(g/kg),SSP1-2.6,7.236,7.507,7.155,7.633
HQ Seoul,Rsds(W/m2),SSP1-2.6,178.421,179.962,183.44,183.842
HQ Seoul,Tmean(C),SSP2-4.5,10.958,11.076,11.407,11.671
HQ Seoul,Tmax(C),SSP2-4.5,14.006,13.967,14.445,14.62
HQ Seoul,Tmin(C),SSP2-4.5,7.607,7.974,8.213,8.436
HQ Seoul,Pr(mm/d),SSP2-4.5,2.073,3.219,2.549,3.056
HQ Seoul,Wind(m/s),SSP2-4.5,2.538,2.455,2.442,2.471
HQ Seoul,Huss(g/kg),SSP2-4.5,6.923,7.387,7.442,7.41
HQ Seoul,Rsds(W/m2),SSP2-4.5,180.142,171.899,175.81,179.139
HQ Seoul,Tmean(C),SSP3-7.0,11.095,11.528,11.206,10.898
HQ Seoul,Tmax(C),SSP3-7.0,14.09,14.51,14.292,13.907
HQ Seoul,Tmin(C),SSP3-7.0,7.817,8.416,7.945,7.715
HQ Seoul,Pr(mm/d),SSP3-7.0,2.359,3.544,2.408,3.406
HQ Seoul,Wind(m/s),SSP3-7.0,2.383,2.461,2.509,2.528
HQ Seoul,Huss(g/kg),SSP3-7.0,7.039,7.711,7.208,7.268
HQ Seoul,Rsds(W/m2),SSP3-7.0,172.37,167.035,169.098,167.246
HQ Seoul,Tmean(C),SSP5-8.5,11.277,11.183,11.663,12.373
HQ Seoul,Tmax(C),SSP5-8.5,14.231,14.286,14.644,15.558
HQ Seoul,Tmin(C),SSP5-8.5,8.127,7.817,8.458,9.013
HQ Seoul,Pr(mm/d),SSP5-8.5,3.78,2.099,3.198,2.647
HQ Seoul,Wind(m/s),SSP5-8.5,2.528,2.545,2.461,2.444
HQ Seoul,Huss(g/kg),SSP5-8.5,7.532,6.907,7.584,7.661
HQ Seoul,Rsds(W/m2),SSP5-8.5,172.145,182.636,177.029,183.776
R&D Seongnam,Tmean(C),SSP1-2.6,12.337,12.496,11.665,12.49
R&D Seongnam,Tmax(C),SSP1-2.6,13.727,13.866,13.047,13.859
R&D Seongnam,Tmin(C),SSP1-2.6,10.725,10.941,10.067,10.916
R&D Seongnam,Pr(mm/d),SSP1-2.6,2.411,3.701,2.694,3.288
R&D Seongnam,Wind(m/s),SSP1-2.6,3.728,3.655,3.697,3.724
R&D Seongnam,Huss(g/kg),SSP1-2.6,7.715,7.96,7.589,8.077
R&D Seongnam,Rsds(W/m2),SSP1-2.6,181.68,180.256,183.306,181.536
R&D Seongnam,Tmean(C),SSP2-4.5,11.66,11.985,12.421,12.495
R&D Seongnam,Tmax(C),SSP2-4.5,13.064,13.377,13.841,13.874
R&D Seongnam,Tmin(C),SSP2-4.5,10.041,10.406,10.804,10.889
